CLOSING PRICE HISTORICAL DATA FOR NIFTY 50 STOCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
29-6-22,2220.1,677.799988,3713,2697.800049,625.549988,3867.550049,5512.799805,1110.974976,316.399994,687.799988,3404.149902,947.650024,188.75,3583.350098,4364.350098,2886.600098,1323.25,987.549988,1343.949951,541.25,2752.399902,344.149994,2233.449951,2177.149902,702.75,274.049988,808.799988,1463.25,576.049988,1642.449951,1547.900024,1111.75,8508.900391,141.75,17499.05078,154.149994,211.100006,2580.149902,1067.650024,459.100006,838.700012,3290.5,720,416.950012,88.160004,1021.099976,1936.150024,644.400024,5618.299805,420.75
30-6-22,2190.9,672.049988,3683.5,2695.199951,636.799988,3706.600098,5400.5,1093.175049,308.399994,684.950012,3466.399902,917.200012,185.600006,3630.399902,4393.799805,2794.350098,1320.75,973.25,1348,550,2719.699951,338.649994,2230.600098,2170.850098,707.200012,273.5,794.349976,1461.900024,564.5,1661.099976,1558.25,1093.150024,8470.75,142.899994,17470,151.550003,211.899994,2595.649902,1081.599976,465.899994,830.599976,3267.100098,706.349976,411.799988,86.705002,1000,1941.25,632.400024,5607.299805,416.049988
1-7-22,2232.199951,677.900024,3736.149902,2773.149902,643.950012,3624.600098,5614.399902,1132.255005,318.350006,673.450012,3584.350098,949.299988,183.25,3637.550049,4385.899902,2782.800049,1347.25,975.349976,1353.75,565.450012,2763.800049,341.149994,2282.350098,2210.550049,703.900024,284.350006,807.200012,1479.400024,578.849976,1667.75,1572.150024,1107.349976,8402.599609,140.649994,17795.05078,131.050003,206.5,2408.699951,1099.849976,466.850006,829.25,3315.100098,719.549988,412.700012,87.285004,1010.700012,1946.199951,643.5,5691.700195,422
4-7-22,2261.850098,682,3770.100098,2790.300049,654.349976,3679.75,5630.299805,1138.829956,316.350006,681.900024,3700.449951,930.650024,182.050003,3639.550049,4354.450195,2796.399902,1350.800049,984.599976,1355.650024,574.299988,2760.449951,340.5,2375.199951,2216.850098,720.099976,291.899994,832,1488,551.5,1670.900024,1581.699951,1091.199951,8443.349609,141.399994,17994.55078,126,210.699997,2413.699951,1117.650024,473.450012,829.400024,3235.050049,730.150024,408.450012,85.455002,999.950012,1962.5,654.5,5709.049805,420.299988
5-7-22,2246.449951,678.75,3817.399902,2766.600098,648.5,3682.75,5661.100098,1152.469971,313.100006,684.450012,3656.600098,937.400024,182.449997,3610.050049,4394.200195,2805.600098,1349.75,982.150024,1352.599976,564.849976,2737.25,345.25,2401.5,2202.899902,719.450012,286.899994,824.049988,1475.949951,552.650024,1663.050049,1564.900024,1081.949951,8348.700195,140.850006,17985,127.400002,214.149994,2433.25,1111,472.149994,835.799988,3216.300049,729.049988,412,86.014999,1003.200012,1954.25,656.400024,5729.950195,413.600006
6-7-22,2272.850098,694.349976,3883.5,2861.399902,657.950012,3773.050049,5916.700195,1202.849976,321.299988,693.950012,3830.800049,945.599976,181.699997,3644.800049,4390,2907.949951,1369.650024,986.599976,1371.25,557.450012,2831.800049,340.950012,2498.399902,2229.5,725.950012,289.299988,836.549988,1491.650024,554.549988,1704.5,1556.150024,1104.550049,8630.049805,138.949997,18388.65039,120.949997,210.449997,2411.850098,1116.099976,479.950012,837.700012,3260.75,749.950012,416.350006,85.815002,1009.900024,2013.550049,662.5,5828.049805,416.049988
7-7-22,2274.300049,703.599976,3915.25,2891.399902,658.150024,3795.5,5860.700195,1196.734985,329.399994,686.799988,3810.25,935.25,186,3656.399902,4336.450195,2944.199951,1374.849976,989.849976,1395.800049,554.599976,2839.449951,361.649994,2472.949951,2245.550049,742,291.950012,861,1498.699951,574.599976,1738.5,1611.099976,1133.300049,8606.400391,140.449997,18204.94922,123.5,212.550003,2388.100098,1124.599976,486.75,849.450012,3287.850098,754.849976,430.850006,90,1020.75,2127.5,682.75,5838.850098,420.799988
8-7-22,2293.050049,715.700012,3936.149902,2879.800049,669.150024,3825,5873.200195,1200.310059,325.299988,695.150024,3816.949951,935.450012,189.800003,3671.300049,4406.200195,2931.600098,1391.349976,983.549988,1397.099976,545.349976,2849.300049,357.549988,2496.850098,2239.75,755.700012,293.049988,848.599976,1514.449951,566.200012,1744.75,1687.449951,1133.599976,8475.950195,143.699997,18419.15039,121.5,218.800003,2391.399902,1146.900024,488.549988,857.700012,3265.449951,761.400024,441.549988,88.589996,1026.5,2144.350098,690.25,5839.100098,419.100006
11-7-22,2373.25,729.200012,3933.25,2933.050049,679.849976,3848.550049,5861.5,1193.814941,315.899994,660.549988,3795.399902,947.549988,193.350006,3734.100098,4501,3046.850098,1406,943.549988,1406.150024,546.650024,2868.100098,356.200012,2490.600098,2249.5,769.5,295,858.349976,1473.150024,577.299988,1741.25,1663,1165.050049,8507.650391,144.800003,18489.40039,125.5,217.050003,2423.899902,1147.400024,488.200012,857.25,3113.800049,765.900024,437.049988,91.275002,1007.549988,2163.600098,690.799988,5854.25,411.200012
12-7-22,2365.649902,731.900024,3929.699951,2893.199951,676.200012,3847.850098,5873.549805,1186.474976,308.649994,663,3725.5,935.75,193.899994,3687.449951,4483.700195,2954.050049,1380.050049,927.799988,1391.800049,539.75,2875.5,346.899994,2449.550049,2226.899902,759.900024,292.700012,847.049988,1438.599976,574.450012,1718.949951,1653.75,1146.650024,8419.700195,147.100006,18125.15039,124.099998,213.5,2420.449951,1139.75,484.950012,851.599976,3084.699951,756.450012,430.549988,90.209999,997.349976,2130,680.200012,5778.850098,409.149994
